p,q,g
18788601641674451655904033720547088673013824313307650292102404986310033231858130615309267164095538681680595366903308512803113185709834198708197222438570598622735610042372695802310206202345518751084271066421668440394154379875175002416911174532005719205131601606758574290523355057804820274204332761346271378716676265520638141927393469468568845388483435111819932440336662839245831855165998277434622429897759128401815346556911008994555450714615953053388699648001888881017981781535721554594456022933660866570682859310210534233331596264524902668448115211105947185096852985682786236293200725797017370591080013099889318602073,67319708797792636747862342647039492345188588976358320985714457659083778117383,6123589109710659030060609088363169558436755163450413061992266191309176252489042232288982293159668923894396303754039201182150973321042135989478817927260288982138248060186059491721794328065242483551667328555688222861734746829060375121555391205737168030751188324972849951314370940845117901264846386265385497466407978191389733609136689279823672196861090441424991337027557783015839082370592184051977131083611446142138684468453812238033527840150254659923569850854074727915704454501993932554722372027352406173720885399973496086434149867432974850460566743906026357809991782323466070165775800931055721169337466997900908263740
23576203063364399485764356791835911434163326637704721350250989840685744315504002925007558640286610053791173384685861037735768122828286607364247239562417331997770556925966206629528540869326585081293614289945250727673186424119092497734411957917836116689985607827468554076637988540847631788382850345002810874106137305174453931628817511274200550102190922856940856351960518164670405112583752510968269860972209532798944710668752568070885190143246903530276315039295465666442469586258163675438283435264090054542306080749301403124320379893603372579846110400534598818886361349375341215199669284077397340861294837212119448050469,84473722688490132497449658973510870849257787277594405892009219192882725170043,18379761532535368373797798778630597462388664422413085883941707955728016119490789863226681325725988196873658469779491648403928745381954782363064133418195547700194296987065636465632858142686474062227629593660498085324150191759465214714112640070470141884805584093385917138502457769339950311386209265535708876704222738464317077685157651324673435807723235308593301714766017326627820056100492644849321081656183587627557165442958493332295365901405863993003111498081407139203677304820812777168631123364326567333514749806874642385980489681715588639241191534115874134633997052488144794754978754379964087199786325476311299152031
22300270043708397574646466764365140895770504831617682240446355959321100868779268926060716221495562739484333866321207974906779091632378741520042579431691867303848518395055197736384538206378812352242081208202478015421980512298504351541216100931936528089734424024344019058753589635364941675462571694629816587574223310361477369045492079410412627081999866584366018458132279457977487729229682357497211156756833511049999635845109121841123422399084755972029821858208248664985691508720966118582844515836078695482211066221497024986693843074578139076570864431061322811410147353195057720777531832585859492108334049089998083573767,79902044552624603382742118451086494153360015024745906056132936115530761103063,12087147048191572103596354504091222517131071195696681177388258329097272559593327585242885698081662431573936968595984066398457376420050947499743218417291880945411914062605036799089106123193044949497443292438293128683792181884195534599410310377456454090813371511041753707866128408558455796987895082976058134315276815620636169533823869040489280354654929817553840251813523896376365433781880760841224100940126418950678716607595366084231186202225991321996998027142498062784964171472367214367524802063154537743392047831657397786891829768456598805706213116261283216099648824357780759577119769110173599642216992523381927636057
16310768790034588641118644920432044085124814479778454296962932225342894516833252251437449659722652040471520176716320992437382634153806773687862569910011905177590665583694189130619058472091859322114143933605826119788791910636864109477499980188926643735872980104921483587076466351757249786459893394147210886561004063675780670700599442288151602226492297125649357101966379880353217134931852840696716278036697586330989042572058394016528429140749028518688642271117227962328111941551047546158962356658859704061604741433736884752210739312981459307042021900291931103861030259431161066116710658262469667468198895881605579390407,58441614025055001391189269046368683142699599355037765220307045516046237240963,5454600665492974633626912939656679332856025418625845650605236741796374647354402420254542590748315492283844322212788424893665619807683675522969301139548854640920728238000337002893768289547379507161434345973022504649079814747646223801890649896549694888405521226423977192863845387488339549920818979577727295152549853201753510987985220558078190035892336624746798112760561335291734517456125551562079092337938374084969753833559574252884316072524446896849988303427397826220404048302947932503040964512907696792101066893687920994319182351940245553644560852745714935629248964994943794799070790104531606396411827764154210721126
21613312313984413396464054060036587167086621488481502726308023766798003082966584233134769984513246269491628495365584481351850685854417996305231529600458136079275743688194831023533762482788565459360149280223595471699034410963044518867327516592792628455238311976622476565349043641378254394153016824967132407723061297562947414497531795373280655053859601723961932858545035502599647886474171749087117016871622296596975555278351647054642316021927204669640903841906982338045123984390705700333352688059167357146085178116132368627876778119591794000822877095274696643038691562479016326071651062386020821374636470364078390786081,77440669554985880729932403829805090371980335535479449812744308195113246329683,14962228154845362792558143889767335825003427578334869261077079156408272711004509847115781738658184045593794880334618497952136013785115725949939998331794058105014113751662567627531740579518788801339707308485450818835759267031430847689358693966079091236835819626358258635888266812505212701149729348576748507581302821301624658781691584205239065380426482074432283847746884829192992825323226248233170262210618336734869953936704630744248812266896903764565758674008227407703351023378261825856882074828149119095406990467882941647513556881284527483301920410337749277646629948013041013853505963238869411231900483593093861633204
16486955706387791972626209880562516430287626683792651036177832975902242428295586671679301278977792247919366920367501346874311513637296109166266125555489614602527503449013548852022353974458081388399144529773896932041952349186345810170931528306462256188289634410402596656057894525669397040345152764540114166096910170958781387683393877623773153657512720189502766210720222038075709116828500382557026188410302427776965192766415312382921820660673118422856986524786878895535249998160084931609916966342533533968952922554114647361723872689698105436397777071810582151510422355980157524486523109820274688153858507159875728824013,59072893144655391797489943136152059997300565846643966281846082899392182403763,6881383775330385381195003945910430510991752398128426022169926587968538771572233974781175780022788443065890984022107178268996724088168963904123290144453941732970916712380946784902295836812169116811230492187409823440673333415738942549669634303837720475601559647038465306997683670488726362101597632315439237675111690600037804524786681509015800874563186579178666290421899531691582291728314414145087198308413267197191127457307871557044885191718008736103520718550834728633871551539474783108415421093321446490998078698881026575947775629073153540305531815036971058702016305910512225918045000833773256500511363947565668669655
21758784570376564248295172878672163806013622379718802911109146593128426397676045840155489631241829073059863292327786863472894222976243070141929648910891036038571585813241845158325015620784381315343971403593570334178735798953452493438399721941639348476190895828044908293995849426714827497056327767471428153361489937452415764891987141843341601839169430704657470459287158686735687594627535615691594690098659299471447831209353137371179250988820361012380858686059031624501939021854078360827288144749281748040985156517868949939357174427164869526778466846758334945650637412306247108223850187984888593719571147115281985209163,77961897804179025703813060469342457618204336164147084216822827664254532364163,13331887551328120151667483501296029238168418525267424164432566925520426831724675839328694535499511335395145940390315648303716830321597884111265314012915758526577681866030354716626843520236793074905338364295656697059379069462549714168522633956242323437559743575203260191550770043566259592148759445232652203782435690039777128109801956745335362789856177563105040090032348895556372630414899071600110650335367329594731555524700867616764865633627691458275650045092611724767094043920505048752513109624601898883450159972533416251914158374395332353519904919533276673642134377576855890096072577796888999499525433852333503462535
20236438686748012162932621253172085081843569389508729104475144198621347869091950328035517420340692781936094543015116724828273117430035196497102101749398197645347132794321786919448408065490849134212603051483939931651747491563383397620315378692913279409282183606300800278893496788310865376208111286733808851507791956657188684900675718735034528204546962162853851857401115250198357014373274456014055745831291578602367858586849074963474672400290068294245028640435362833025263222419756028470703206370155878836112388648916279297715026742357218354149933159540773083463944595555954416257236270221294402507129428977085757244781,72507320421044991825801181589661535450359363512024995675188377274943346593243,14573460040096275012454550748853295380873555110093945574273292795929290512367847431940720803643207611384778393501708284209859557143879761028172827992817141039302739570560869724309363305359165158602883678776487315985850482678154212952687490406756783426839500900339754676372948690938675706504267704910963552666690379164096482047989870511295044740128594228169011423875429083764462884942772001863276539115988395353604497004021457329830688680477989505909979421606175593088862580532325150061964906615701525702407908161653005201356504831038839236638618738364314079283140669228861988839036213016280206254905344256700406342977
16939427281935494139100694961418892001732614437876512260674026072566705111763526884732259316373947555391259664132010022531110689326312412052388618587383931517222296338251978500577318296683677261438940732189966463023058417383036193153097998580915360057535673091861713888339002013470792516202100230607362227966933811109993898034314239754652364178638888909816675703160611819140462647639873997312522236607792886773375050951085597601868941696971598518190202317064665188399475621904577862863329719258349746499914190169282433384750284675583776172657730396032000079200359982739397434175053589460109303854254143445626440560541,60694102390881930278763511455149007688589269421642956721348983669669090541323,4440298310464018360435395437111599388360495714396548859828397418238719735843363343557614776718138079664429409482637078540389361578254725072647707832446494698191257959947926272284110503650463521708606508503215444579108884396148411141961453645173714713161015322173228144169486733546982926262695009344247270305586781404352692356213680169924766701870894021117995753537428661933028013177586845236647607120940653911679848439949003048536341865060915254726452566505409870695944421633087322787508880367357393866505833856948711200476609104789352651039729890016130845449462048400351029577908948127986878129762129604847077700932
19604451914779700779737359031623029565446930605697419312138007965290389967019802077100912558050494287643134794259663111975573296843040019503562424978008324437519272004812132292506525648795022783963080671947150117404312414145784725959733947449375908589382023568703777463250651269782483949664772101170341223869354910213997993208849690209997100019351708353691832077040486735722836497897117888892469794169243418250877970089497238786013553548467088055845610746388357843976851161823494698161453370822994395825609928168345492043925324203260468396047251378543075094566313330517098845186694625323847958140517953679149217910137,70242906801321664207634013850903379841353574017319036923994714745725390901543,564893510595611146291346967063577311888104824447096529538811259287876142400272618292373270809854663860262001755431189045317690070499115629468537525086750896440749021873135691911286432954761020633099904264207763992610478542799091277761441364185549619567371367213514012192304997289010008250697923861736524305405274725932012621422761998922426659127171365019945387017991091637896634453389989223313095135494731494562795126488991084370521497341458806341389407769275285607099631842759599344708240689758567344397394196899714423761574834854679637716824449784976664294724218291183473336170408602560142385534543292347794440144
20906424662053736214490970093430078691049233971716874277883734872388835469309024298910626009075565681414906336577242502211576559435834534463055604224095041988123925935178490388658844049192859355888987174498968094295105951845837548244775398094928866691050093280711894664385422541966500500966305410943280652945723329102977274815179415337388755365894753643919398401738728528610133481780427883553516643954311801421555139446878506966772254725009757459221787774766839713103620456846351678212942086113746428197007254623302754151154899668615114170794318726478017217631634668597865974548091873039539096050147652805793583237717,74907885487906817182561186109544683198688849373143950982877739767221808718743,16125101044631221089997545188067358460411700603295252788247896807842119535046905695524741479087262794531513295289543791332992963730958084347503556509745425368920224423894799279551417352223705135782686701791954032711860645746564864001673305756446750910523057925969029251468821731435825961559101264584478275428594957478832737480701558909031840154222231264541193375215354260992498308769983664480660846455930901544868617701071297090605315779256360548796494425482911894348772801779312078024705101790612068971576928829701184777660944962973148525969818847123562575009560754702907868169407513462467701075361953385205574770759
16227113586629877228154412242855775098120591355905584633307465534388321095839004241987294680683153788638812949634227686422051066565351983037454618213438093566996787211737689137846551418566567712366239747046402328841106304474962012408023784469150312702025674194687248351460023903097388059408270716560830524621926022906887280646657944760607159652205919691836348702839792903624596877468172150200505852449061527748150804067410429864474555777204649489475756300661261357127184063791627972321334078207423364833942995379198124645171037057421651250879661760495929536542785181894648082590326160972308829395700306034566406098509,58141876767326682877571365197107602293031446044302245580237862208903784978603,5766946594062844167576795695866348465833286264099467965598500000608263664369486077547262399112272049208812705328927506289739836485982574560308140977516094186055138011319211157771675388926436703949274987700976434433763924064510792038099607209884004536534410826898628472129757687980830303560606501631260792249655042784806780098182154198390093976142503195864407084085205654749698031445695135756157434837268181572868678866461848206146372907370224240944517287532563725373031557675220834181964388826838704922124369140417850598981790595672430674117695640621075281043286828791094930866352506437714341653605881027454501991912
17419304242200300312195883648421326532865076715971144038347111773929181706422777911642023607935164627223008947989964772275056417836363849233588716437333963091113770079930700381816165984356151797346448550347604702436867600864009894120570052942057071382570559256971308102043216878016776294721423080052501834694134093444522005876234726547144064601107372488341797885862089164602616714127371281850478985450874539602153502972196651050657404673027560103900372224101613853074027126594859149782509716741889222452447289781568990371893478276366706906512591860123120916218038792622799057159673981938448099801909699881765092407149,62413505348052595086406627204633248949648939631927365678105967919287793086263,1713993677997947888366842507253180256823543458281435706322669709908393629530889638222014457691892166146272756268585341172644733990644115934301446699654297764299518336202363793152987496246851676349782189148065135580204499884234284455220029923854019694490684077956443965531564519218553817504870096205211046152172505645091024930054062373938473932549105606410742276993615268154768725692922175176834534245778591167367459533769882290387408948135973525364832198749531397924693955105085596581177739081827600472515412824395954021495840205170139666381868278875488700896257992543495534661886207233774055076222771565982680280048
19267468995171244145666618060094103607515124304941735603215353073772057794239471255319133762517355130696610101495231079209656196961245033395336223776291836659542558025997974690147462523231630722515681975894681248980942857348747513591205500466637971822123402456286741337525642934943393742626145908756059578730624129158088813713229986315395641086664365767851917236169166541094264698865962075198554932850263092275297088435912163849975231675092004637009998759701295862358589380045548233065225564334597153517387893339622322217248807285846684451151678062448683232149094269662323982226863067694357914931436879123043655633869,69035494325900767844912420329703233622510541481875671431275926904102057796363,12126574079306919894376020414832573634985226808112546891766718488098712389075850140575627167717121703980731871868400356406394523019808032703557175213833264488259949521879036425529094379032029755959879162258337459668455220181366400933145249057578038248289237593109888489041057673790006009971030633006090479750660908490761159139231547001229823935098464241799307028775796694329477136266854407078198256016144635452280663724841039235217302222851239247056688888275789650939878459233498631296489472009358698577082554278419924437209683610851393018610432599118246795482906666866420754335027077148418744538783428338434714101880
17652038654815858834498279567910451904294057394620826007474802576374611081972263181293688398337710068600200052310340290053221984608737009732186078507293073809118071251340386791336425853098417967669785949877488294530481696184158468581700009270639872209051869240675189762179557087313183656764999034459628816974356673172194383569229728468330330029600082160309340406071910763515255592255413842177168996196857093492528977423226819578370816010603325571505109371137381475064416276123324966576669917255484356716255966504947223632847947044983668295369480312735719677698881624217008516040143419927622255646627668043254295246389,63247394595550016051979217151277779033765278105033636191636405771785984455303,10713278052770121423929382221282814475086040947093635174864650785220446979055179631151478809095702593240842979707984248868233982861690051643087990204514793261712075691609200058760633702684534425882393449001390447330117522674606991929789652048993171570645465084544923799515568278281570263406949721798753360400707247024411573660516950898723243773558500486182919111500918844749847625052836200975773764279473121759357847520100704928845077894456075197443142780614430994843755824267689809779131438295692062584035024450799564430080881977476394759206736559294489397761948894687828407057127000388183465074540733131711512157871
