p,q,g
2930547584901670460547167269767968157702423192738546547027290749184611189599525169972719880856334209313067794498807323949591069765765465066773613094162676321985504317568338390484774837092253447934981684806159500253571238627941081457693100389569308558726667885992029066701580073018547821525527273824198187243535674793545971335006624573014249459482078444476465125841354471371451374447600386496352617718603696628773963615902988314797876061232851061064161557532986251683302031565362623340839484688355464091965518872038113244354619647460601098649422097160872497709503736572878561638719203510820058705840887827858085764153,11648169468693840662120082253276250157392231340623892235434232656920960698337,1905801684453178066808855472601869337354002079059513606433883722481106487517926235134398105714281488051571312659122773289716455553075886065862876889057815798747423355193080497031719461958372903989028880682085697081239043541164908490657162227862288239626467959705419751623033626432410514039887540204298487706109661913868946402964690326329122664170440759286959452001865294640266089214518494199526771131231370003155174683714770393873351412992176496918413370867396748096754736570025503967374615595357870340835334806753664031223021986435588591628138098746973084362151470390355073884865382296088283509169251148502799386132
5892244771350320648805427845954487945100502115394369593762107529547267728792235651624899793267865341231876857649092114805181827518588219261977453432131329370436763518420224659898283553539336436828907516259106443472939221465624633997611921025388014229830486212820465678192356981269292442092647790472220057898174698030783603139490384855034352811594252908614237451306395262465684527788800352216073595521545664631782336726163363650678948317672915103350011372878867951014165553124901918524483766869138422699192072894043257793342852395412727719182640507012246549426578904526859538022453250927372849935164677361808698395499,41823483529483715660252120546932602288912971930744095426234870476411952356829,2658627309315629513743911726227260082411749488204154782349881377615823924702393609763886824443498995287563180713330666498125032268698238326550763649387982755893451555696360842360449873411406393466799145705218879455945832495035799712750871985781750411808442316761648722172098117482599484556439734466688158581517546409512396537631877585780899822814245768285181407629303190482794313179645386879022023042724961993642000479698453607182624688209272464959185794564677900689653976404323144517064424401100109341568597613314807863559567841274482608712448566150507153477905263500571049036905565305231118529979621855666134909696
4725522433545607332820870892695344310954301890149355998540196927635808756294379919911028022283878284549366358788161112111818071197028603016411503037451671521976537347147318570207729582571731042576508405356564481275129010218402843309100220417341332942475993598289967902793381672733185027609372305092544735815171375999660532206322049064253792438344371168016261213716816185192799983559004649108856903545135617113650399671746975055227113802370259772052072204408708139861455204392280454443935051307206274216446163629217484862594084928802908101892544519302377273736422317626870299395653310903977322265186897486075210967257,30068757313860912254288307917414381942757578110443579623026018461506421873599,4049363750375865786896656667318139957737540689805970094488924646189414975964126788421148975075753695498426826567738114587641087516434421757366603666717644535512975146439257467656876728510570199054932583302272919978078151850160296107505238952248073076777950434987071501719269004554839800426391249234366064751093714478076792683229136160837099022474638825351779403908728821057100418546647617877301427271761275639769882772308771786635155034213144271239831727084078108815403755894151445355314570442972317779761769700416802633920771553069367094107562817497903236215259361859559510969087033751358296469596262611178861136843
7706328383273219536967303726957856842199678704702786171372335678146482745153081866707607706655291100253001153088822404753636148662230886726543014674934336013213831923664314649581022436608275195353485894540586430348387610697179301440722512553325010763584879685445095176152621875394915418296287642826413161416507858844948910090900053042543625403681721804869659664160753405338843995020375343733994461470105671112574426256160573559536005355221065710496867330994113748639759085681367028126287811359337976801922581882134662772998344772960989393183085565735948983508048038085139964571542333827876676183830764332812484657557,30357660457784228174015638262354492848685888581367403825975765242851812862933,7070361199545669048327850991895077929617244023471418693769054746738582391727187816485788363852225932784166275590322909504349892568702415082030288327012348772302526449666015854872544796067494845139889777689654068592532184409265032897601887959649598316870979464955028927323092042285917675225345814486506899051804317907871088006791943104584921686802801518712424747202824984185069868631699380141624828449437829806354753022392149679223576653603583206510139270964700792154274975149569980466181276712691329526892439839115712444183788500456746966199222759053195453242181268366827485265821523087474748861466863691502366888685
8500497651491678527289348989032910948325603774526452086392359609409415288690954377907931407753100734083556149038737018846631846893635524470020235164323426952918140790384731597079343035644571348427272863860655003019948485970203990852408788545629475745604394195263237471708114128247017251530416629694146932540058881457935986588537316281956539433731660262930535813411359975234504616473102140903114067235077923073194569061201033596103688895826722020933434427571812270180013565641840045708343405768281550718891800247363352317392145399230156883455863754705951632037765970670243733580175577252020882534738144412447550402911,45160767328389849340782098075733551911779202232749595322657346262701327347989,5256719733215878488957449399011322251555087244649070264697000852739646367181795561324020525883733792264544459731468317940951305048944431940939936836086977282268208573023493080544105537758344482842571782720796158259069323429455791761572443996930701510802825021044754072239251253772349867223554231951902902192439876352014779411815333914055402384749800458792273572150543762870685939119451380779609858678390948702966239391300630040076648312037780556950940091861005814929912336900246035558414607027653372335267961211545005066944161557223471432817561430715638657046904172292579138864568593902692342027019311975374174122633
1918654587081427338193590996307759782542796295991052597710131905139476254766936904032733032500656280762434010710181534481082943041430123752127629957127828611162166344295067298000070798961206095129743610999438811621268655974191388292316099837003915007912145986761954862913690251913746913703005746172180238546759325599519865951207276343989907918071919263648579673471093413469552160600209323758153001655071860631447996041179630943077650393955911073324791337997629764878053476862923618781545020282273285610500497352056286381702384842844991810425062192103150816271692403279292894638721100680387990650724150395290796750103,9519496599867330624256007520266737196417072179326573148910753741264302283189,184896825146015161294355710189193234027582373715946701027924035590830589952780761048617979736228249096145455029217653173556298706601316763506237177066768840386880023816503340674424526991732321402356131776618585133752476720014731442826902796191449612960196120844746465202251527782182020705883284633143023940429448612273821637561362715153766816256890816867407222494344141057559696296190694233051611651442491874594218987262977699904314913213783849024433805687783739924051198470175584926470315208609415645039361258206040170080746339060824732819293599000951287263294516998473798725321166572719803750968633291089549661726
401947672641795796482296660799565948809448037316959712865376093745036431909094262628323033381371956895277017353610604664221394642863777492955487247983052114814832528197656209882276682937044487027551531841078016297349982309069098572578221751977467715191292707886711106878056359980084961412659015456352777174817741681148518867983167203512046996190664495561869946057118689219113930161245754132798677142282730492205966710583088577376051349841429156766413360172924732308714962523258827451504817536237758791237532354074824346193529172271518226042148422677888837801800556068598049504184868784343080615427335553876782064915,1771246485609289360716515135381565378639949899116579731535302895813352365939,330247019557075501490918643215517704060690782699488218786395485089715159297144634768145657089641591417548060251565951564209066542105807842750973557622362874991656502703030343139545187333305876983291817653561830894285036988265968474334992214140510391010809506188456358575434712837829204309088742624777403321409328028787551643539596988541834284309047104499097364945815220824663887152251124607085446024929110065902540804670602536078051659558101288209914456734106425359440563010803864996287361620437795005331532299699419288989358281115295698091198699581381582637243516880731297965227715382504488449368778597458111036479
6269856969250703165182319214046676481297683919914377975633906896054336385330002499194279401329775298322339597914954898716512133024999540217724108438971094134114244566482821107141219104748723666018049591146532427118730375397633798634059860260039467198300803374404377996075303805612737566381679892511888510719127501276813012728739325042087907409497929766467494659368672343584743308092971386330374002411775076405442605801632264316596423095265149257881211256590187962169005302530734751132291928275842059891389864087046236075426107414319670869397387848303458874906805320360757423980245398259872384777778346157200404707685,22773978709458002967850352301274207152159352601354881433341394457079085170013,5842135333038529144897107265135488541795355985359710333990979254547422423303921943108821672495610745292534118631516325069445537042970325387045564432124090028797606827914951479625409374307829008694668721347363443211162348570441363962727928773055528438487322266746436048579713275977440789039497747246805182911858587921378347016420407500825504123193444891736801900140266695055595482910215894301301554536216237872268020651011009082852333460620786376643794424576326747440474957804311803608997140964719037696188614106125358510547992636806571403220823558246971943782846009064873621442629760291140875287765338216324687485111
1278181949939387281834526089044536038276919970746845856144939842373517233027722468339867669513319459679166748635275215669869149741747249125933650073164338314889682123402486320504182482166477286047715969835972213899451073626022995435383994666990883060228621623885379830553927137028075043724070134405340187924191779708961335357452224876142588061169989720081059809551005640881577370986541200988317744102852233310405126539756523629469739996326989651024821398126588550342444156291449314997533469923819080900978906444771176285206697142016608072465457154438109539049990634659278655990643246417607036554829943132528091792030,7584548056331183747536831732308345068748306280712801197016317359439879449389,626157758741759400312157553069783738331949773569170585312580370097221535194525003893047948934143479097745955377843081138863888183729250826257507083191105861839714274771317470776918513487787410335069108433638488080711172239666266252686417113315504850525942908189669461181489315999737146308456458306688910448384100105013614958034957103292326892813265470143062080079495175760966813191776121357537846922503128438076230848837995944182706396167012995759345020352510423494005070326121602046906123648355509449598277428884653000966788502706366943424439173355875487434591405707776190466742495376685690965956775624256926409172
9871910914947968553724017737918809822713556064055390852076376067135592181595228722481331309023150726204835736783592678381807353315321485048348231566840745885200301725032219068443704023672462724521715746211620235260559232480802739504302069053359671684618082681871605263591941520772499247809611506020580021989431113176774058910646522965132940274845047519871666216233119381850413353592267081653442945629645747703286172552432364218725037370014004424093006243051514336048460732730545176968533792795366811217532501071683348375682680124635909407078428196898450146020977363987398822545860503352174256677749362421749592992786,49826437775112706305898667169553442450931966436095287808496912201285959088571,8951424781973724832334343895621778586164554094888489284836426297683494756888813364042198813413936224250484777237127101623788856576570007941146285193874363259178654960605008455694128442062988272603041768190976124868287290255142034607187118215835535103392178963660045036796787636753589457660952911214053475771214006364391598481128082436120762863968105026034737913928477994924692428778632177160565460856663979519644798331188035939615631283450140586675348240906789812129738894736515149957089044895639122968919360257556546915012600049015409693423138146709729461509794144822166669745298276313570399327742658149308514666312
