p,q,g
26285292369121312924885622937270549275118253909965793571201103745584584727994580245187886905646966779174600930231146748305905152255929771723881718480453196831388337906625750751210770893988692204513412654286325119436680058570374825185326970072944361450430177471774058258444678473976219103258966421116200851192368756235330025363184264734557284517076162465585411165663541860805676352383755994625500799599377254727634976920999288171310853833598144501536022509792520067390046122160735530718634945612689440999114124426922414565294905850355435375190098064876530601628203719799917320382707913786989162779637216555675215751133,94180411171695221704083977765454664758388952181248980290142680957489791098951,20027962177063623108301249094233972293793688767752875085161965975368079433151266018590579814803054655531592976916308804000987297480963645858391150977470605546160752068303519930138942548954557828363962569076857381480540224307251968034868589613345121305579756802241289207733799978295434424216351004377606108665407620497613360588724971950023851807336371719773071053721051971265459082039817815929261420559509784907062989031019527842825023701520662501205743049128606722453416974779716279859251415661762547191219627283394707017237320529489296217623891229613240845534891086204947269179553953597887151919960033750961582926332
32009930878360427688164247825609638772584664840643203914558613364192939597569596344839584591224525024778019894486790315610486714721141118803211513076514149311400267334953390726679054431647797203887833159011274475705877788028923450854808918167748179747098701376984512566711661266743844198410842040653115817709442317472068205284177759147782929959082491237124213651634026665645446517856307147437264299518346630634254442170306051337329630709914111742733957079471404797296925416923031141683236380898481607512498172907114946760540238532431015493332063433065936164088396417292146698835429157539082444791140883624490588714749,114691836383873043408389830406798554169277435645258698989992714763968576110221,25952414142261041379964679455304942716478311425114034668829091481766394502649945575358091694379351414011381195039519207746320138817862255643295664507666823183061592907631705552252834108623594597903955984176212972588817552484347389278218731450019958668105503064012246822434836806915878415852590353640474588104973642671373685356581175976376315384775929314233653832484668039118999798963423401597692806794825641035417039634261472534312020206532825562025127521079388971443237339203666989252830993956637045951821005384782790315844323454378531633896536824718535806112929582841993920960463596958709441395985978545336334097135
31833830508850412268132652337290669995187484002837633576428063221087032675003003544958394300586083223566455110271042848487380213696515413090769508210537021327809555781206782060862992592153452200598905038253635954715214854150045590679955306781185128958684455391360200374997550917063538446777653425685962084218939458274651072889917534464069422641180457834760002810992945097487068605835221926283618854036077921232563037793591834732275868396336068582516463497980258157714519943754967648129119574290959316600433608837067180499791108214860227986167468539791973824523779738188699971132127082993256634404218359154546781979049,114060867362298674015740709688576382282654948207755342270639884564398838931473,8200805269936032784927262798901429376635372648548669423434906028714758231255649532823284334590219447899587738858023442687633354554050299665910590588996061581056158041829252654336936411534533064326358864769564324629932840937208961869669903575150765929655266043430887980001907700201544454094297737534962539995912579117718053731509723836291071764109705333161452300210913177305844312978772926054397149271287093939052536532005919791442640721822065070015740952998442288505350935500073436217318764591961523728183860786271545303881676796842021127297633776008291919046273837153791747116540340513360415474349245971417195032118
30438438725966463484367283843545074102217246424476304116277170676435457450808459824550742939892032844197647861245876341100817791339580508692386492314360442622790538212218805615971972645383004479088044910541598845436369233254384218440778086729582087456092525412804607130712938585921601918319117248663149494957930971583570117803350464484644432006986145544294663841264380169748579040469560117661654029281034280666538615169744176734457557274949944117863621826189787210012002891389966477623541068221843563207685378501427811851388972252775052269892561311449827074881081474742079370077447814783350100829951110082424926177037,13632645941212917859492427870383835411723172977644188261892514339908317471763,22277663560837300932101601372820889097214797428416171265073241600163622017035320825237866907326730404106932122036305665565845085995938439316135388642099822160474452512353568021503189816232534729529675311379317001436348482970979737859172960282588637348352793604846629230541121575795297080873536986023540991911630410278011224654014972614257979511073503087357399490705618846288868553343116028664073553386580838200705009853054400966302371848501107883611321093960902616108738174912761973641401280042078756351745172467389244802811037007662634829035725680524930556639751375758488455747321540427842598380829301046953836410227
31597491993858125871354437533857004040565475277663209459497866898337970571429061135550789987888128723404754703078579667758397094113852557189494834601273480710339379064940802868155484500514787652651939539750173814718718502304212872771479930472112631554097370917362059142406637653566347765576875200412977303269687623677633974216400598389096762744393685619073829197898163282083921017818968271170299032354489275536912589243803890462015389252662792825773079774029456116323900261911339194813936758440212674498077635853561318092941970488093880531922447496464274270023080364104231086700522107265457149562717682431492474972779,56607032293690745405744936829585808564847501052132735402640962858052378865707,21854847321303068671480898119787854176497484694018412265703909962326168115801125862712655871050638175432610100628332311607277539445606983715904153589620960947163001398479363060435754906063149985878847791685346326967098674937691132711715712944605729826363036195958846573053762029320248600620375924093681920456274776160983309495269934328339014906304600555831000359485030845761306950759093216097519683120980028279702676026119228027730124679464930491041178401414273334875299100596316547939877133067924611283413752392182745325610220788155504053009140670379779619344055701961191809554215073459419059977481980804545004070344
20804242576479228696330135323799419696058692673447940776440691268583275425285242956991186281742149533658761429180251167434075714130722786738148111688678276724163828742694335116289882253580096509948078231929735663183991657037972994424550527279281089498199190965347036646915375391968188693128590161089358902855578400074377146658571737039158862519408410577682157458701300424011507514332602764371740328813610025255735736380001183541944195908409408283734639714834194713331755928534031732329130428771704961518687170314758589878272854692913890404153259491672370872764498048740389355444980877499563279743653047030824478166533,37270883132162790923336618904962624426806619570972279023326539759308200090259,10808878982589061924985551725152273620856397412365087877720308811330537742916776190072610319596814232055355708586765371547809663425198098489330186718849222638977294119780194333406264455953327629221622481329301186203157806384873345506172144177325806822099221480996852747322463548182933289668230301595744196099920178411620317286910119667258638874368578430114936313126635766348688566744867732061303488910559092111060149263397649137142691243048917805205353989414500861197055375682616518514774727992942163517734351735244380216524531172140027109561427088743855400343835509473740363666934058679808147671136505809420800942371
30026460199467550124149926036538246372185450602769466566780590127143266214318032999682925113096117146912865110707828060723754927013555545368515799268631870106613146090816052648960009026854031365921088644285910292129463616669765098399048822160741228717708856618973885470720252773203637888496839950159507729763481672768491460554529612843176252974398886996809906171195155428977457082728148519096213025757666733065863594156192231994143200301626785764930852209057433676199746405839933583340309375725078146486568132100271713500105008159912051150303276053710092144140256858029727233156721560151216920618437704684441305662591,107585045199591560848385300169008115227871504685883057732835359067504205039159,20426017319807128670123465615779266644530952686041126748004656700105373065986004008196645730694566325779649585070867698304766668184233006959295510269365914148401393936374736167314905263744654867943757782345015540563480977661205110270682496407838986869269368654622494483763160514290713047287641706793586557198671563755903400179761526957284929153984963068484848694766509903524658287890323288462778824991137502974866996792061626451122006203959080553448725516930965932619336460373720774983459991798868745824553844139256706569433488297208316025235066307321266202575758225524967181464776847071388145551697359636448041731461
16993709133080004411310554901055215017788905279417077043482951020770630183177247042813604661658473573740792873684506876098399152969689511069432175911633426681083316115096139852008578437831329317966665538620335699312781759397103058445388474060503019987158256128267091747099542040258651687193070603204315022383426206129481822299543240165314936008567918138408683704765063058847454269900450085491786157983058846910419080067859545157306656630797242766621463892591948060026080501300087233212191685703846045134782612288733072371510950668817562370742124973816464322816491385767144802756864378709398954747607064753331578096463,237846073024767334830932081714561763851267392180794685917493681014771062129,10412203985062199559825505021409950176322894724635414575070006394589896087780284588086301099685751904448949600073290997955194204387032155004670428210274427976099077572212162504386995197131370308968002559159633699059523102042195068963303976543286637078516604003143276017373408930185465780651106105891444627521122070324609565380646821044113246285059076218313507663047446054055210790064449090271454735971559031771653593091236778064394279034538036443308513667108526941739144889089311395371231014231739615647864044298010946056819829539381509525240246983107889749597966759391765640623023124223981629385423909395076691377538
24834359591533326890691716217302159898776731366442734965504872283113894529001825967590813888576738177581583552529521376797772578937664578485917278626948353685838862317213711751214615060679137637342523806406771192247805233995129402298171974605426661192082279456008258866044492254584072893425306011811298615040448950058496200690738743835688671033984037049184748835729805000085647480482912805513989902376934124731487585323639722983588636215911867300657810826812608899288302234447469912124314237849486900382206734636088172716347842855514406731242127743509032047712622559711168127652156173315730610651098406755502117151803,88981707514274409382358247337142601321897482546838180763049878622829998166583,18083749688410058986533122913831651991888740250811091280279523275378092933246438378713074506278160941879290107191966252584604088641598559674234035930986367893552330707159046013091556891369215303779723416749353359423949393457590989137865684134064628565418018060722705052268972155766665164400825535317909828811480258677783754165909931807168002623136004382171605636914786674400523647028491783490824522904965248200495190125746020003691410232656321811011526400609945326851018631610496160586398705277586367322524347319426914824818951508494975877497212409687694442795119264859869351593009395464010559553039664750909826680258
20353537174522389279269596229214653085996822862893179239428562386534960024860001343487139844782296150405529739599475718704240836806788377156081377170528610324014843603859770118511183541954256199941647751839529193407799939521735533434738648488876087553175125129391098794630860898573214349912481667392128060520017669261256474096680735535282117369028986480007632635536165698350535030641609888965915480222002222623557072460997693643104508866739136354578079780787661236438664244897290732677670146009411125679351291520928790604774707427671252892430254084208367793467030860175467380891045482888530173373453599655085718788291,36463442616046167649063323658559933440637474572372679215464957296750284461157,19660253779364086613427800286930648994036491397007985960782476039684571707020567023540703907837273929021691551625634736233612953160712768236259017022642731741755934769688363698808142490044829790044731530182105828019049861843434514489662389019668950463124135746134925013561296713398647934237092887492728022639579622323515102867466855292162928668792214526010968374333786517965151046915721054163320544570458721367354570595842922177212860815253468141794180652893212381428808373508087771768820168573735049149413546336534215752781848602771390964936477169798211767042795318742848452756005181647349154428087434130074016182665
